Start,End,Sleep quality,Time in bed,Wake up,Heart rate,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
5/11/2015 21:57,5/12/2015 5:00,75%,7:03,:),55,0,0,0,1,0,1
5/12/2015 22:04,5/13/2015 4:52,72%,6:47,:),59,0,0,0,1,0,1
5/14/2015 22:49,5/15/2015 6:17,79%,7:28,:),51,0,0,1,1,0,0
5/17/2015 21:03,5/18/2015 7:49,93%,10:46,:),59,0,1,0,1,0,0
5/18/2015 22:39,5/19/2015 6:20,91%,7:41,:),59,0,0,0,0,0,0
5/20/2015 22:22,5/21/2015 5:25,59%,7:02,:),62,0,0,0,1,0,1
5/21/2015 22:47,5/22/2015 5:25,74%,6:38,:),60,0,0,1,1,0,1
5/24/2015 0:01,5/24/2015 7:35,73%,7:33,:),,0,0,1,0,0,1
5/24/2015 22:58,5/25/2015 6:45,67%,7:47,:),61,0,0,1,1,0,0
5/25/2015 22:05,5/26/2015 5:29,85%,7:23,:),,0,0,1,1,0,0
5/26/2015 22:18,5/27/2015 5:14,69%,6:56,:),,0,0,1,1,0,1
5/28/2015 23:10,5/29/2015 7:00,81%,7:49,:),52,0,0,1,1,0,1
5/31/2015 23:16,6/1/2015 6:20,72%,7:03,:),76,0,0,1,0,0,0
6/1/2015 22:20,6/2/2015 6:19,76%,7:59,:),57,0,0,1,1,0,1
6/3/2015 22:19,6/4/2015 5:20,78%,7:00,:),64,0,0,1,1,0,0
6/4/2015 22:20,6/5/2015 3:45,70%,5:25,:(,,0,0,1,1,0,1
6/5/2015 3:45,6/5/2015 5:41,23%,1:55,:),57,0,0,0,0,0,0
6/7/2015 22:01,6/8/2015 5:40,75%,7:39,:),58,0,0,1,0,0,0
6/8/2015 21:57,6/9/2015 5:16,69%,7:19,:),,0,0,1,1,0,1
6/9/2015 21:07,6/10/2015 5:01,83%,7:54,:),,0,0,1,1,0,1
6/10/2015 21:12,6/11/2015 6:17,92%,9:04,:),68,0,1,0,1,0,1
6/11/2015 22:54,6/12/2015 6:19,74%,7:25,:),,0,0,1,0,0,1
6/14/2015 22:38,6/15/2015 6:12,81%,7:34,:),,0,0,1,1,0,0
6/15/2015 22:31,6/16/2015 6:20,88%,7:48,:),64,0,0,1,1,0,1
6/16/2015 22:21,6/17/2015 6:20,69%,7:59,:),,0,1,1,1,0,1
6/17/2015 21:28,6/18/2015 5:00,63%,7:31,:),,0,0,1,0,0,0
6/18/2015 22:26,6/19/2015 4:46,71%,6:20,:),,0,0,1,0,0,1
6/22/2015 21:54,6/23/2015 5:07,78%,7:13,:),,0,0,1,0,0,1
6/23/2015 22:09,6/24/2015 4:57,76%,6:48,:),,0,0,1,1,0,1
6/24/2015 4:58,6/24/2015 5:45,10%,0:46,:),,0,0,0,0,0,0
6/24/2015 22:37,6/25/2015 6:20,82%,7:43,:),58,0,1,1,0,0,1
7/11/2015 22:29,7/12/2015 8:00,98%,9:31,:),69,0,1,1,0,0,0
7/19/2015 21:38,7/20/2015 6:09,69%,8:31,:),74,0,0,1,0,0,0
7/20/2015 22:01,7/21/2015 5:04,68%,7:03,:),,0,0,1,1,0,1
7/21/2015 22:02,7/22/2015 5:45,79%,7:42,:),67,0,0,1,1,0,1
7/23/2015 22:29,7/24/2015 6:44,86%,8:14,:),,0,1,1,0,0,1
7/26/2015 22:29,7/27/2015 6:20,93%,7:50,:),58,0,0,1,0,0,1
7/28/2015 21:32,7/29/2015 5:39,68%,8:07,:),58,0,1,1,1,0,1
7/29/2015 23:06,7/30/2015 5:40,71%,6:34,:),61,0,0,1,1,0,1
7/30/2015 21:40,7/31/2015 5:40,88%,8:00,:),64,0,0,1,0,0,1
8/1/2015 1:41,8/1/2015 8:31,77%,6:49,:),64,0,0,1,1,0,1
8/1/2015 22:55,8/2/2015 8:02,97%,9:06,:),,0,0,1,0,0,1
8/2/2015 23:45,8/3/2015 0:00,3%,0:15,:|,,0,0,1,0,0,1
8/3/2015 0:26,8/3/2015 7:25,88%,6:59,:),68,0,0,1,0,0,1
8/3/2015 21:46,8/4/2015 5:00,71%,7:14,:),,0,1,1,0,0,1
8/4/2015 21:17,8/5/2015 4:55,81%,7:38,:),,0,0,1,1,0,1
8/5/2015 21:35,8/6/2015 4:55,78%,7:19,:),57,0,0,1,1,0,1
8/8/2015 0:19,8/8/2015 7:56,97%,7:37,:),54,0,0,1,0,0,1
8/10/2015 0:01,8/10/2015 5:03,65%,5:02,:),,0,0,1,0,0,0
8/10/2015 21:11,8/11/2015 6:09,72%,8:58,:),50,0,0,1,1,0,1
8/15/2015 23:41,8/16/2015 7:27,84%,7:46,:),,0,0,1,0,0,0
8/16/2015 21:44,8/17/2015 4:45,58%,7:00,:),56,0,0,1,0,0,0
8/17/2015 22:13,8/18/2015 5:27,85%,7:14,:),,0,0,1,1,0,1
8/18/2015 22:33,8/19/2015 6:45,90%,8:12,:),57,0,0,1,1,0,1
8/19/2015 21:48,8/20/2015 6:01,79%,8:12,:),51,0,0,1,0,0,1
8/20/2015 22:36,8/21/2015 6:00,69%,7:23,:),58,0,0,1,0,0,0
8/21/2015 21:52,8/22/2015 6:00,88%,8:07,:),,0,1,1,0,0,0
8/22/2015 21:59,8/23/2015 5:49,90%,7:49,:),52,0,0,1,0,0,0
8/23/2015 21:59,8/24/2015 5:29,83%,7:30,:),52,0,0,1,1,1,0
8/25/2015 21:57,8/26/2015 5:45,67%,7:48,:),,0,0,1,0,0,0
8/26/2015 21:14,8/27/2015 5:45,90%,8:30,:),,0,1,1,0,0,0
8/27/2015 21:19,8/28/2015 5:45,93%,8:26,:|,60,0,0,0,0,0,0
8/28/2015 22:01,8/29/2015 6:00,85%,7:59,:),62,0,0,1,1,0,0
8/30/2015 22:00,8/31/2015 6:00,84%,8:00,:),66,0,0,1,0,0,0
8/31/2015 22:14,9/1/2015 6:00,77%,7:46,:),,0,0,1,0,0,0
9/1/2015 22:00,9/2/2015 6:00,85%,7:59,:),65,0,0,0,1,0,0
9/2/2015 23:36,9/3/2015 7:10,77%,7:33,:),57,0,0,1,0,0,0
9/5/2015 22:54,9/6/2015 6:59,87%,8:04,:),,0,0,1,0,0,0
9/7/2015 22:45,9/8/2015 6:13,84%,7:27,:),61,0,0,1,1,0,0
9/8/2015 22:03,9/9/2015 6:04,86%,8:01,:),,0,0,0,1,0,1
9/9/2015 22:40,9/10/2015 6:10,83%,7:29,:),,0,0,1,1,0,1
9/10/2015 22:10,9/11/2015 4:57,77%,6:46,:),,0,0,1,1,0,1
9/12/2015 0:06,9/12/2015 7:41,81%,7:35,:),,0,0,1,0,0,1
9/13/2015 22:03,9/14/2015 5:50,81%,7:47,:),,0,0,1,0,0,0
9/14/2015 22:33,9/15/2015 6:30,83%,7:56,:),,0,1,1,0,0,1
9/15/2015 22:14,9/16/2015 5:55,70%,7:40,:),,0,0,1,0,0,1
9/16/2015 21:59,9/17/2015 6:20,80%,8:20,:),59,0,0,1,1,0,1
9/17/2015 22:57,9/18/2015 6:20,60%,7:22,:),56,0,0,1,1,0,1
9/19/2015 0:31,9/19/2015 6:55,55%,6:23,:),,0,0,1,0,0,0
9/19/2015 22:01,9/20/2015 6:48,91%,8:47,:),,0,0,1,0,0,0
9/20/2015 22:07,9/21/2015 6:15,79%,8:08,:),55,0,0,1,1,0,1
9/22/2015 21:34,9/23/2015 6:15,81%,8:41,:),58,0,0,1,1,0,1
9/23/2015 21:37,9/24/2015 5:07,77%,7:29,:),49,0,0,1,1,0,1
9/24/2015 22:37,9/25/2015 6:00,83%,7:22,:),,0,0,1,1,1,1
9/27/2015 22:57,9/28/2015 7:00,82%,8:02,:),61,0,0,0,1,0,0
9/28/2015 21:12,9/29/2015 5:15,90%,8:02,:),60,0,0,0,1,0,1
9/29/2015 22:54,9/30/2015 6:20,89%,7:25,:),58,0,0,1,1,1,1
9/30/2015 23:57,10/1/2015 6:14,62%,6:16,:),55,0,0,1,1,0,1
10/3/2015 0:09,10/3/2015 7:26,69%,7:17,:),57,0,0,1,0,0,1
10/11/2015 0:27,10/11/2015 8:58,100%,8:31,:),50,0,1,1,0,0,0
10/12/2015 21:59,10/13/2015 6:00,74%,8:01,:),,0,0,1,1,1,1
10/13/2015 22:19,10/14/2015 4:59,59%,6:40,:),,0,0,1,0,0,1
10/14/2015 5:00,10/14/2015 6:00,13%,1:00,:),,0,0,0,0,0,0
10/14/2015 22:40,10/15/2015 6:20,68%,7:40,:),65,0,0,0,1,0,1
10/15/2015 22:12,10/16/2015 6:21,67%,8:08,:),58,0,0,1,1,0,1
10/17/2015 0:45,10/17/2015 7:37,57%,6:51,:),,0,0,1,1,0,0
10/18/2015 21:52,10/19/2015 6:20,67%,8:27,:|,,0,0,1,0,0,0
10/20/2015 21:38,10/21/2015 6:20,88%,8:42,:|,62,0,0,1,1,0,0
10/21/2015 22:41,10/22/2015 6:20,77%,7:39,:),53,0,0,1,1,0,0
10/22/2015 21:46,10/23/2015 5:30,80%,7:44,:),70,0,0,1,1,0,1
10/24/2015 0:32,10/24/2015 8:12,77%,7:40,:),,0,0,1,1,0,1
10/24/2015 22:38,10/25/2015 6:33,81%,7:55,:),,0,0,1,1,0,0
10/26/2015 23:09,10/27/2015 6:05,77%,6:55,:),65,0,0,1,1,0,0
10/27/2015 21:34,10/28/2015 5:35,78%,8:01,:|,,0,0,1,0,0,1
10/28/2015 22:28,10/29/2015 6:20,83%,7:51,:|,53,0,0,0,1,0,1
10/29/2015 22:30,10/30/2015 6:10,81%,7:40,:|,57,0,0,0,1,0,1
10/31/2015 1:01,10/31/2015 7:50,50%,6:48,:),,0,0,1,1,0,0
11/2/2015 22:00,11/3/2015 6:10,83%,8:09,:|,55,0,0,1,1,0,1
11/3/2015 22:46,11/4/2015 6:09,75%,7:23,:|,,0,0,1,1,0,1
11/4/2015 22:49,11/5/2015 6:00,65%,7:11,:|,,0,0,1,1,0,1
11/5/2015 21:36,11/6/2015 5:29,77%,7:52,:|,,0,0,1,1,0,1
11/7/2015 0:19,11/7/2015 8:13,93%,7:54,:),98,0,0,1,1,0,1
11/8/2015 23:28,11/9/2015 6:20,69%,6:52,:),,0,0,1,1,0,0
11/9/2015 21:59,11/10/2015 5:41,88%,7:41,:),,0,0,1,1,0,1
11/10/2015 22:56,11/11/2015 6:28,83%,7:32,:),,0,0,1,1,0,1
11/11/2015 22:57,11/12/2015 6:20,72%,7:23,:),,0,0,1,1,0,0
11/13/2015 22:59,11/14/2015 7:46,96%,8:46,:),59,0,0,1,1,0,0
11/15/2015 22:17,11/16/2015 6:30,72%,8:13,:),62,0,0,1,1,0,0
11/18/2015 22:07,11/19/2015 5:30,80%,7:23,:),63,0,0,1,1,1,1
11/19/2015 23:10,11/20/2015 6:00,73%,6:50,:),62,0,0,1,1,0,1
11/22/2015 21:57,11/23/2015 5:30,83%,7:33,:),,0,0,0,1,0,0
11/23/2015 22:15,11/24/2015 5:00,74%,6:44,:),,0,0,1,1,0,1
11/24/2015 22:33,11/25/2015 6:30,87%,7:57,:),,0,0,1,1,0,1
11/25/2015 23:26,11/26/2015 6:20,69%,6:54,:),,0,0,1,1,0,1
11/26/2015 22:25,11/27/2015 6:20,81%,7:55,:),,0,0,1,1,0,1
11/28/2015 1:20,11/28/2015 7:46,58%,6:25,:),59,0,0,1,1,0,1
11/29/2015 22:20,11/30/2015 6:20,68%,7:59,:),,0,0,0,1,0,0
11/30/2015 21:23,12/1/2015 6:19,64%,8:55,:),,0,0,1,1,0,1
12/1/2015 23:03,12/2/2015 6:20,84%,7:17,:),57,0,0,1,1,0,1
12/2/2015 22:19,12/3/2015 5:11,75%,6:51,:),,0,0,1,1,0,0
12/3/2015 22:51,12/4/2015 5:01,70%,6:09,:),,0,0,1,1,1,0
12/6/2015 22:10,12/7/2015 5:31,86%,7:20,:),68,0,0,1,1,0,0
12/7/2015 21:20,12/8/2015 5:00,86%,7:40,:),61,0,1,0,1,0,1
12/8/2015 22:17,12/9/2015 5:45,79%,7:28,:),,0,1,1,1,0,1
12/9/2015 21:57,12/10/2015 6:10,93%,8:13,:),67,0,1,0,1,0,1
12/13/2015 0:08,12/13/2015 8:23,77%,8:14,:),,0,0,1,0,0,0
12/13/2015 22:07,12/14/2015 6:09,80%,8:02,:),52,0,0,1,0,0,0
12/15/2015 22:32,12/16/2015 6:10,75%,7:37,:),,0,0,1,1,0,1
12/16/2015 22:20,12/17/2015 5:40,84%,7:20,:),,0,1,1,1,0,0
12/17/2015 21:07,12/18/2015 5:45,100%,8:37,:),,0,0,1,1,0,1
12/20/2015 22:19,12/21/2015 6:20,72%,8:00,:|,56,0,0,1,1,0,1
12/21/2015 22:06,12/22/2015 5:29,80%,7:23,:|,,0,0,1,0,0,1
12/22/2015 21:41,12/23/2015 5:43,82%,8:01,:),,0,0,1,1,0,1
12/23/2015 22:33,12/24/2015 6:01,79%,7:27,:),,0,0,1,1,0,0
12/29/2015 22:44,12/30/2015 7:00,76%,8:16,:|,,0,0,1,0,0,0
1/1/2016 23:53,1/2/2016 8:27,79%,8:33,:|,71,0,0,1,1,0,0
1/2/2016 23:49,1/3/2016 8:13,85%,8:24,:),65,0,0,1,1,0,0
1/3/2016 21:44,1/4/2016 5:35,69%,7:51,:),,0,0,1,0,0,0
1/4/2016 22:17,1/5/2016 5:45,74%,7:28,:|,,0,1,1,1,0,0
1/5/2016 22:18,1/6/2016 6:20,66%,8:01,:|,,0,0,1,0,0,1
1/13/2016 22:44,1/14/2016 6:20,72%,7:35,:|,,0,1,1,1,1,0
1/14/2016 22:10,1/15/2016 5:28,73%,7:17,:|,,0,0,1,1,0,1
1/17/2016 22:00,1/18/2016 5:30,76%,7:29,:|,,0,0,1,1,0,1
1/18/2016 21:56,1/19/2016 5:34,78%,7:38,,,0,0,1,1,1,0
1/19/2016 22:46,1/20/2016 6:35,75%,7:48,,,0,0,1,1,0,1
1/20/2016 21:13,1/21/2016 6:29,77%,9:15,,,0,0,1,1,0,0
1/21/2016 21:33,1/22/2016 6:23,79%,8:50,,,0,0,1,0,0,0
1/22/2016 22:17,1/23/2016 8:14,79%,9:57,,,0,0,1,0,0,1
1/24/2016 22:06,1/25/2016 6:30,85%,8:23,,,0,0,1,1,0,1
1/25/2016 22:27,1/26/2016 6:38,88%,8:10,,,0,0,1,0,0,0
1/26/2016 22:58,1/27/2016 6:28,83%,7:29,,,0,0,1,1,0,1
1/27/2016 22:02,1/28/2016 5:23,84%,7:20,,,0,0,1,1,0,1
1/28/2016 22:11,1/29/2016 5:26,76%,7:15,,,0,0,1,1,0,1
1/29/2016 21:47,1/30/2016 6:06,88%,8:19,,,0,0,1,1,0,1
1/31/2016 22:58,2/1/2016 6:19,78%,7:20,,,0,0,1,0,0,0
2/1/2016 22:02,2/2/2016 5:27,82%,7:25,,,0,0,1,1,0,1
2/2/2016 21:47,2/3/2016 5:20,72%,7:33,,,0,0,1,0,0,1
2/3/2016 22:54,2/4/2016 6:20,79%,7:26,,,0,0,1,0,0,1
2/4/2016 22:17,2/5/2016 6:53,74%,8:35,,,0,1,1,0,0,1
2/5/2016 23:45,2/6/2016 7:35,84%,7:50,,,0,0,1,0,0,0
2/6/2016 22:55,2/7/2016 7:35,91%,8:40,,,0,0,0,1,0,0
2/8/2016 0:44,2/8/2016 7:45,68%,7:01,,,0,0,1,1,0,0
2/8/2016 22:43,2/9/2016 6:40,77%,7:56,,,0,0,1,1,0,1
2/9/2016 21:57,2/10/2016 5:31,66%,7:33,,,0,0,1,0,0,1
2/13/2016 23:41,2/14/2016 5:11,38%,5:30,,,0,0,1,0,0,0
2/14/2016 22:07,2/15/2016 5:53,84%,7:45,,,0,1,1,0,0,0
2/15/2016 22:07,2/16/2016 5:25,76%,7:18,,,0,0,1,0,0,1
2/16/2016 22:20,2/17/2016 5:32,70%,7:12,,,0,0,1,0,0,1
2/17/2016 21:33,2/18/2016 6:24,90%,8:51,,,0,1,1,0,0,1
2/18/2016 22:47,2/19/2016 6:26,77%,7:39,,,0,0,1,1,0,1
2/20/2016 23:12,2/21/2016 7:41,69%,8:28,,,0,0,1,0,0,0
2/22/2016 22:04,2/23/2016 6:23,85%,8:19,,,0,0,1,0,0,0
2/23/2016 22:18,2/24/2016 6:25,94%,8:06,,,0,0,1,0,0,1
2/24/2016 21:59,2/25/2016 5:43,88%,7:44,,,0,0,0,1,0,1
2/26/2016 0:15,2/26/2016 6:35,68%,6:20,,,0,0,0,1,0,1
2/27/2016 23:33,2/28/2016 7:50,92%,8:17,,,0,0,1,0,0,0
2/28/2016 22:19,2/29/2016 5:45,64%,7:25,,,0,0,0,1,0,0
2/29/2016 21:55,3/1/2016 6:22,78%,8:26,,,0,0,0,1,0,1
3/1/2016 23:22,3/2/2016 5:50,70%,6:28,,,0,0,0,1,0,1
3/2/2016 22:15,3/3/2016 6:21,95%,8:06,,,0,0,1,1,0,1
3/3/2016 22:01,3/4/2016 6:17,90%,8:16,,,0,0,0,1,0,1
3/5/2016 23:20,3/6/2016 7:31,98%,8:11,,,0,0,0,1,0,0
3/6/2016 23:08,3/7/2016 6:19,70%,7:11,,,0,0,1,1,0,0
3/7/2016 22:50,3/8/2016 6:22,75%,7:32,,,0,0,0,1,0,1
3/8/2016 21:40,3/9/2016 6:25,91%,8:44,,,0,0,0,1,0,1
3/9/2016 22:40,3/10/2016 5:49,79%,7:09,,,0,0,0,1,0,0
3/10/2016 21:35,3/11/2016 5:34,92%,7:58,,,0,0,0,1,0,1
3/12/2016 1:33,3/12/2016 7:50,69%,6:17,,,0,0,1,0,0,1
3/12/2016 23:44,3/13/2016 7:51,83%,7:07,,,0,0,0,1,0,0
3/13/2016 22:47,3/14/2016 5:40,82%,6:53,,,0,0,0,1,0,1
