,Start,End,Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total
126,2015-07-11 22:29:00,2015-07-12 08:00:00,0.98,558.6,0,1,1,0,0,0
127,2015-07-19 21:38:00,2015-07-20 06:09:00,0.69,498.6,0,0,1,0,0,0
128,2015-07-20 22:01:00,2015-07-21 05:04:00,0.68,421.8,0,0,1,1,0,1
129,2015-07-21 22:02:00,2015-07-22 05:45:00,0.79,445.2,0,0,1,1,0,1
130,2015-07-23 22:29:00,2015-07-24 06:44:00,0.86,488.40000000000003,0,1,1,0,0,1
131,2015-07-26 22:29:00,2015-07-27 06:20:00,0.93,450.0,0,0,1,0,0,1
132,2015-07-28 21:32:00,2015-07-29 05:39:00,0.68,484.20000000000005,0,1,1,1,0,1
133,2015-07-29 23:06:00,2015-07-30 05:40:00,0.71,380.4,0,0,1,1,0,1
134,2015-07-30 21:40:00,2015-07-31 05:40:00,0.88,480.0,0,0,1,0,0,1
135,2015-08-01 01:41:00,2015-08-01 08:31:00,0.77,389.40000000000003,0,0,1,1,0,1
136,2015-08-01 22:55:00,2015-08-02 08:02:00,0.97,543.6,0,0,1,0,0,1
137,2015-08-02 23:45:00,2015-08-03 00:00:00,0.03,9.0,0,0,1,0,0,1
138,2015-08-03 00:26:00,2015-08-03 07:25:00,0.88,395.4,0,0,1,0,0,1
139,2015-08-03 21:46:00,2015-08-04 05:00:00,0.71,428.4,0,1,1,0,0,1
140,2015-08-04 21:17:00,2015-08-05 04:55:00,0.81,442.8,0,0,1,1,0,1
141,2015-08-05 21:35:00,2015-08-06 04:55:00,0.78,431.40000000000003,0,0,1,1,0,1
142,2015-08-08 00:19:00,2015-08-08 07:56:00,0.97,442.2,0,0,1,0,0,1
143,2015-08-10 00:01:00,2015-08-10 05:03:00,0.65,301.2,0,0,1,0,0,0
144,2015-08-10 21:11:00,2015-08-11 06:09:00,0.72,514.8,0,0,1,1,0,1
145,2015-08-15 23:41:00,2015-08-16 07:27:00,0.84,447.6,0,0,1,0,0,0
146,2015-08-16 21:44:00,2015-08-17 04:45:00,0.58,420.0,0,0,1,0,0,0
147,2015-08-17 22:13:00,2015-08-18 05:27:00,0.85,428.4,0,0,1,1,0,1
148,2015-08-18 22:33:00,2015-08-19 06:45:00,0.9,487.19999999999993,0,0,1,1,0,1
149,2015-08-19 21:48:00,2015-08-20 06:01:00,0.79,487.19999999999993,0,0,1,0,0,1
150,2015-08-20 22:36:00,2015-08-21 06:00:00,0.69,433.8,0,0,1,0,0,0
151,2015-08-21 21:52:00,2015-08-22 06:00:00,0.88,484.20000000000005,0,1,1,0,0,0
152,2015-08-22 21:59:00,2015-08-23 05:49:00,0.9,449.40000000000003,0,0,1,0,0,0
153,2015-08-23 21:59:00,2015-08-24 05:29:00,0.83,438.0,0,0,1,1,1,0
154,2015-08-25 21:57:00,2015-08-26 05:45:00,0.67,448.8,0,0,1,0,0,0
155,2015-08-26 21:14:00,2015-08-27 05:45:00,0.9,498.00000000000006,0,1,1,0,0,0
156,2015-08-27 21:19:00,2015-08-28 05:45:00,0.93,495.59999999999997,0,0,0,0,0,0
157,2015-08-28 22:01:00,2015-08-29 06:00:00,0.85,455.4,0,0,1,1,0,0
158,2015-08-30 22:00:00,2015-08-31 06:00:00,0.84,480.0,0,0,1,0,0,0
159,2015-08-31 22:14:00,2015-09-01 06:00:00,0.77,447.6,0,0,1,0,0,0
160,2015-09-01 22:00:00,2015-09-02 06:00:00,0.85,455.4,0,0,0,1,0,0
161,2015-09-02 23:36:00,2015-09-03 07:10:00,0.77,439.8,0,0,1,0,0,0
162,2015-09-05 22:54:00,2015-09-06 06:59:00,0.87,482.4,0,0,1,0,0,0
163,2015-09-07 22:45:00,2015-09-08 06:13:00,0.84,436.2,0,0,1,1,0,0
164,2015-09-08 22:03:00,2015-09-09 06:04:00,0.86,480.59999999999997,0,0,0,1,0,1
165,2015-09-09 22:40:00,2015-09-10 06:10:00,0.83,437.4,0,0,1,1,0,1
166,2015-09-10 22:10:00,2015-09-11 04:57:00,0.77,387.6,0,0,1,1,0,1
167,2015-09-12 00:06:00,2015-09-12 07:41:00,0.81,441.0,0,0,1,0,0,1
168,2015-09-13 22:03:00,2015-09-14 05:50:00,0.81,448.2,0,0,1,0,0,0
169,2015-09-14 22:33:00,2015-09-15 06:30:00,0.83,453.59999999999997,0,1,1,0,0,1
170,2015-09-15 22:14:00,2015-09-16 05:55:00,0.7,444.0,0,0,1,0,0,1
171,2015-09-16 21:59:00,2015-09-17 06:20:00,0.8,491.99999999999994,0,0,1,1,0,1
172,2015-09-17 22:57:00,2015-09-18 06:20:00,0.6,433.2,0,0,1,1,0,1
173,2015-09-19 00:31:00,2015-09-19 06:55:00,0.55,373.8,0,0,1,0,0,0
174,2015-09-19 22:01:00,2015-09-20 06:48:00,0.91,508.20000000000005,0,0,1,0,0,0
175,2015-09-20 22:07:00,2015-09-21 06:15:00,0.79,484.8,0,0,1,1,0,1
176,2015-09-22 21:34:00,2015-09-23 06:15:00,0.81,504.6,0,0,1,1,0,1
177,2015-09-23 21:37:00,2015-09-24 05:07:00,0.77,437.4,0,0,1,1,0,1
