Sleep quality,Time in bed,Activity (steps),Stressful day Total,Drank coffee Total,Drank tea Total,Ate late Total,Worked out Total,Fell asleep
62,416,7119,0,1,1,0,1,2251
68,421,6149,0,1,1,0,0,2238
75,496,595,0,0,1,0,0,2201
98,510,0,0,0,0,0,0,2242
67,425,0,0,1,1,0,1,2223
72,452,0,0,1,1,0,0,2247
65,354,0,0,1,1,0,0,122
90,474,0,0,0,1,0,1,2142
72,456,0,0,1,1,0,1,2144
79,533,0,0,1,1,0,0,2122
85,470,0,0,0,1,0,1,2351
97,456,0,0,1,1,0,0,2316
78,445,0,0,0,1,0,1,2219
82,419,0,0,1,1,0,0,2320
77,412,0,1,1,1,0,0,2313
79,448,0,0,1,1,0,0,2249
76,479,0,0,1,1,0,1,2220
92,544,0,1,0,1,0,1,2112
81,454,0,0,1,1,0,0,2238
69,479,0,1,1,1,0,1,2221
79,462,0,0,1,1,0,1,2202
88,487,0,1,1,0,0,0,2152
90,510,0,1,1,0,0,0,2114
84,480,0,0,1,0,0,0,2200
81,455,0,0,1,0,0,1,6
79,488,0,0,1,1,0,1,2207
13,60,0,0,0,0,0,0,500
67,488,0,0,1,1,0,1,2212
77,459,0,0,1,1,0,0,2241
96,526,0,0,1,1,0,0,2259
73,410,0,0,1,1,0,1,2310
87,477,0,0,1,1,0,1,2233
82,481,0,0,1,1,0,1,2141
72,455,0,1,1,1,1,0,2244
78,440,0,0,1,0,0,0,2258
72,453,0,0,1,0,0,1,2147
77,459,0,0,1,1,0,1,2247
88,464,0,0,0,1,0,1,2159
70,388,0,0,0,1,0,1,2322
92,478,0,0,0,1,0,1,2135
83,427,0,0,0,1,0,0,2344
98,502,0,0,1,1,0,0,2246
81,480,0,0,1,1,1,1,2148
53,390,0,0,1,1,0,1,51
77,465,0,0,1,1,0,1,2227
95,473,0,0,1,1,0,1,2223
95,527,0,0,1,0,0,1,2127
89,474,0,0,1,0,1,0,2220
74,380,0,0,1,1,0,1,2310
81,513,0,0,0,1,0,0,2134
75,415,0,0,1,0,0,0,2234
93,598,0,0,0,1,0,0,2242
77,459,0,0,0,1,0,0,2252
86,480,0,0,1,0,0,1,2232
78,422,0,0,1,0,0,1,2313
87,472,0,0,1,0,0,1,2307
99,575,0,0,1,0,0,0,2220
74,489,0,0,1,0,0,0,2347
67,454,7025,0,0,1,0,1,2246
67,500,7255,0,1,1,0,1,6
55,506,4555,0,1,0,0,0,2323
52,393,8737,0,0,1,0,1,7
71,510,779,0,1,0,0,0,2300
54,339,6044,0,1,1,0,0,138
72,450,9368,0,1,1,0,1,2255
80,548,6716,1,1,0,0,0,2249
65,469,6623,0,1,0,0,0,2158
77,541,0,0,1,1,0,0,2227
83,411,0,0,1,1,0,0,211
67,456,0,0,1,1,0,1,2153
77,460,0,1,1,1,0,0,2239
86,470,0,0,1,1,0,0,2229
82,481,0,0,1,1,0,0,2217
91,483,0,0,1,1,0,1,2357
82,417,0,0,1,0,0,1,2230
84,456,0,0,1,1,0,0,2204
75,423,0,0,0,1,0,1,2157
72,407,0,0,0,1,0,1,2204
73,453,0,0,1,0,0,1,1
74,445,0,0,1,0,0,1,2254
78,433,0,0,1,0,0,1,2154
82,463,0,1,1,0,0,1,2237
98,571,0,1,1,0,0,0,2229
68,487,0,1,1,1,0,1,2132
88,480,0,0,1,0,0,1,2140
97,546,0,0,1,0,0,1,2255
97,457,0,0,1,0,0,1,19
77,466,0,0,1,0,0,0,2214
85,479,0,0,0,1,0,0,2200
83,476,0,1,1,0,0,1,2233
80,500,0,0,1,1,0,1,2159
77,449,0,0,1,1,0,1,2137
62,376,0,0,1,1,0,1,2357
88,522,0,0,1,1,0,0,2138
81,475,0,0,1,1,0,0,2238
83,489,0,0,1,1,0,1,2200
74,448,0,1,1,1,0,0,2217
78,458,0,0,1,1,1,0,2156
79,597,0,0,1,0,0,1,2217
70,432,0,0,1,0,0,1,2220
68,380,0,0,0,1,0,1,15
92,497,0,0,1,0,0,0,2333
85,463,0,0,1,1,0,1,2241
79,539,0,0,1,1,0,1,2121
79,460,0,0,0,0,0,0,2154
83,450,0,0,1,1,0,1,2210
83,419,0,0,1,1,0,1,2350
91,499,0,0,1,0,0,1,2314
71,438,0,0,0,0,0,1,2233
77,419,0,0,1,0,0,1,2232
82,461,0,0,1,0,0,1,2241
83,443,0,1,1,0,0,1,2232
86,492,0,0,0,0,0,0,2149
35,310,0,0,1,0,0,0,2225
51,450,4213,0,1,0,0,1,2308
55,493,3040,0,1,0,0,1,2206
36,468,10059,0,1,0,0,0,2252
58,381,7048,0,1,0,0,1,45
57,456,10842,0,0,1,0,1,2239
70,509,8047,0,0,1,0,1,2226
53,449,7230,0,1,0,0,1,2250
65,436,9308,0,1,0,0,1,2248
50,447,3932,0,1,1,0,0,2252
81,520,7682,0,1,0,0,0,7
66,454,8641,0,1,1,0,0,16
72,458,2870,1,1,1,0,0,2252
74,471,737,0,1,1,0,0,2325
83,470,7499,0,0,1,0,1,2235
71,417,3196,0,0,1,0,0,2333
69,447,0,0,1,1,0,1,2132
88,436,0,0,1,1,0,0,2258
93,471,0,0,1,1,0,0,2355
58,432,0,0,1,0,0,0,2151
75,480,0,0,1,1,0,1,2145
70,427,0,0,0,1,0,1,2303
85,497,0,0,1,0,0,0,2155
80,447,0,0,1,1,0,1,2156
81,421,0,0,1,1,0,1,28
100,540,0,0,1,1,0,0,2253
53,438,0,0,1,0,0,1,2141
83,474,0,0,1,1,0,1,2223
59,422,0,0,0,1,0,1,2222
74,398,0,0,1,1,0,1,2247
81,469,0,0,1,1,0,1,2310
72,423,0,0,1,0,0,0,2316
86,494,0,1,1,0,0,1,2229
88,419,0,0,1,0,0,1,26
65,302,0,0,1,0,0,0,1
84,466,0,0,1,0,0,0,2341
58,420,0,0,1,0,0,0,2144
79,492,0,0,1,0,0,1,2148
85,479,0,0,1,1,0,0,2201
83,449,0,0,1,1,0,1,2240
77,406,0,0,1,1,0,1,2210
77,472,0,0,1,1,0,1,2136
83,453,0,0,0,1,0,0,2157
69,414,0,0,1,1,0,1,2326
68,479,0,0,0,1,0,0,2220
80,482,0,0,1,0,0,0,2207
85,504,0,0,1,1,0,0,2349
73,437,0,0,1,1,0,1,2210
77,555,0,0,1,1,0,0,2113
84,470,0,0,1,0,0,0,2345
38,330,0,0,1,0,0,0,2341
70,431,0,0,1,1,0,0,2308
75,452,0,0,0,1,0,1,2250
69,377,0,0,1,0,0,1,133
66,433,0,0,1,0,0,1,2312
62,545,0,0,1,0,0,0,2123
67,432,0,0,0,1,0,0,2204
9,42,0,0,0,0,0,0,537
81,429,0,0,1,1,0,1,2247
72,416,0,0,1,0,0,1,19
83,474,0,0,1,1,0,1,2206
74,419,0,0,1,0,0,0,2300
83,449,0,0,1,0,0,1,2211
77,445,0,0,1,0,0,1,2310
92,482,0,0,1,0,0,1,2213
99,530,0,0,1,0,0,1,2124
98,490,0,0,1,0,0,1,2320
77,434,0,0,1,0,0,1,2236
84,427,0,0,1,0,0,1,2303
96,464,0,1,1,1,0,0,2205
36,504,3444,0,1,0,0,1,2158
54,499,2210,0,1,0,0,1,2151
67,549,5038,0,1,0,0,0,2238
41,560,2542,0,0,1,0,1,2100
69,470,5658,0,0,1,0,1,2231
61,461,7107,0,0,1,0,1,2228
33,437,6925,0,0,1,0,0,2244
59,492,5955,0,0,1,0,1,2155
60,487,11650,0,0,1,0,1,2214
55,483,8733,1,0,1,0,1,2217
66,481,6719,0,1,1,0,0,2221
100,486,0,0,1,1,0,0,2214
65,441,8273,0,1,1,0,1,2304
81,485,1540,0,0,1,0,0,2347
16,73,0,0,0,0,0,0,506
83,455,0,1,1,1,0,0,2236
78,373,0,0,1,1,0,1,2
92,535,0,0,1,1,0,0,2254
87,482,0,0,1,0,0,0,2218
69,469,0,0,1,1,0,0,2230
69,445,0,0,1,0,0,0,2254
75,452,0,0,1,1,0,0,2148
100,541,0,0,0,1,0,0,2117
77,459,0,1,1,1,0,0,2131
87,446,0,1,1,1,0,1,2146
93,646,0,1,0,1,0,0,2103
85,443,0,0,1,1,0,0,2205
78,420,0,0,1,1,0,0,2219
70,325,0,0,1,1,0,1,2220
63,451,0,0,1,0,0,0,2128
76,408,0,0,1,1,0,1,2209
